,Predicted_Survival
1,-0.0195673916222857
2,0.000933227297111277
3,0.000933227297111277
4,0.00386893415968102
5,-0.0137987457480196
6,-0.0107804105005964
7,-0.0119653119679582
8,0.000933227297111277
9,0.000567652560543532
10,-0.0203040899682262
11,-0.0117972916130134
12,-0.0117972916130134
13,-0.0112038080573207
14,-0.0253406101272085
15,-0.0193350746539477
16,-0.0137987457480196
17,-0.00148830764863787
18,-0.0196711030171906
19,-0.0117972916130134
20,-0.0137987457480196
21,0.00311380446786208
22,-0.00924559083288984
23,-0.0183026358332201
24,-0.0137987457480196
25,-0.0183026358332201
26,-0.0203040899682262
27,-0.0137987457480196
28,-0.0132052621923269
29,-0.00483541857715482
30,-0.00959828309638425
31,-0.0137987457480196
32,-0.0180985675610613
33,-0.0110605932670729
34,-0.0175659374872795
35,-0.00959828309638425
36,-0.0136363534888279
37,-0.0117972916130134
38,-0.00959828309638425
39,-0.00707023864989278
40,-0.021256800852751
41,-0.0117972916130134
42,-0.00557211692309537
43,-0.0190776194614979
44,-0.00660455574382296
45,-0.0137987457480196
46,-0.0213365287889538
47,-0.0141643204845873
48,-0.00935548612394728
49,0.000933227297111277
50,-0.00660455574382296
51,-0.0137987457480196
52,-0.0117972916130134
53,-0.0142188265587626
54,0.000933227297111277
55,-0.0213365287889538
56,-0.021256800852751
57,-0.0117972916130134
58,-0.0193350746539477
59,-0.0117972916130134
60,-0.0133902363446073
61,-0.0117972916130134
62,-0.0137987457480196
63,-0.0107804105005964
64,-0.0183035353215178
65,-0.0117972916130134
66,-0.0141643204845873
67,-0.0137987457480196
68,-0.0142188265587626
69,-0.0183026358332201
70,-0.0188352659070019
71,-0.0117972916130134
72,-0.0183026358332201
73,0.00716665943156143
74,0.000933227297111277
75,-0.0117972916130134
76,-0.00660455574382296
77,-0.0192008406435696
78,-0.0117972916130134
79,-0.00557211692309537
80,-0.0189549446989299
81,-0.0123434249486934
82,-0.0188352659070019
83,-0.0132052621923269
84,-0.0112038080573207
85,-0.00902323088656995
86,-0.0109354543693799
87,-0.0158283163201734
88,-0.0162202806937687
89,-0.0107804105005964
90,-0.00756531361356946
91,0.000661315211354789
92,-0.0117972916130134
93,-0.0117972916130134
94,-0.0158169306595787
95,-0.0137987457480196
96,-0.00790607576008148
97,-0.0112038080573207
98,-0.01604277383468
99,-0.0137987457480196
100,-0.00660455574382296
101,0.00276666107717272
102,-0.0117972916130134
103,-0.0152278433931182
104,-0.0188352659070019
105,-0.0117972916130134
106,-0.0188352659070019
107,-0.0117972916130134
108,-0.00852414888504715
109,-0.00148830764863787
110,0.00166992564305183
111,0.000933227297111277
112,-0.0142188265587626
113,-0.0115544946405765
114,-0.0181235127974754
115,0.000933227297111277
116,-0.00557211692309537
117,-0.021256800852751
118,-0.0027713674062414
119,-0.014410437628808
120,-0.0104297239173407
121,-0.00532106250612632
122,-0.0167309998653886
123,-0.0132052621923269
124,0.000933227297111277
125,-0.0203040899682262
126,-0.0184890875340432
127,-0.00756531361356946
128,0.00716665943156143
129,-0.0104193356353172
130,-0.0213365287889538
131,0.000933227297111277
132,-0.0110232074730334
133,-0.0193350746539477
134,-0.0117972916130134
135,-0.0188352659070019
