,Predicted_censored
1,1
2,1
3,0
4,1
5,0
6,1
7,0
8,0
9,1
10,1
11,0
12,0
13,1
14,0
15,1
16,0
17,1
18,1
19,1
20,1
21,0
22,0
23,0
24,1
25,1
26,0
27,0
28,1
29,0
30,0
31,1
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,1
44,1
45,1
46,0
47,1
48,1
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,0
73,0
74,1
75,1
76,0
77,0
78,1
79,1
80,0
81,1
82,0
83,1
84,0
85,0
86,0
87,1
88,1
89,0
90,1
91,0
92,0
93,0
94,1
95,1
96,0
97,1
98,0
99,0
100,0
101,1
102,0
103,1
104,0
105,0
106,1
107,0
108,0
109,0
110,0
111,1
112,0
113,0
114,1
115,0
116,1
117,1
118,0
119,1
120,1
121,1
122,1
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,1
136,0
137,0
138,1
139,0
140,0
141,1
142,0
143,0
144,0
145,1
146,0
147,0
148,1
149,1
150,1
151,1
152,0
153,1
154,0
155,1
156,1
157,0
158,1
159,0
160,1
161,0
162,0
163,1
164,1
165,0
166,1
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,0
175,0
176,1
177,1
178,0
179,1
180,1
181,1
182,0
183,1
184,1
185,0
186,1
187,0
188,1
189,0
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,1
204,0
205,1
206,1
207,1
208,0
209,0
210,1
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,1
221,1
222,0
223,0
224,0
225,0
226,1
227,0
228,1
229,0
230,1
231,0
232,0
233,1
234,0
235,0
236,1
237,0
238,1
239,1
240,1
241,1
242,0
243,1
244,0
245,0
246,0
247,1
248,1
249,0
250,0
251,1
252,0
253,0
254,0
255,0
256,1
257,0
258,1
259,0
260,1
261,1
262,0
263,0
264,1
265,1
266,0
267,1
268,1
269,0
270,1
271,0
272,1
273,0
274,0
275,0
276,0
277,1
278,0
279,0
280,0
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,0
293,1
294,1
295,1
296,1
297,1
298,0
299,0
300,0
301,1
302,1
303,0
304,1
305,1
306,0
307,0
308,1
309,0
310,1
311,0
312,0
313,1
314,0
315,1
316,0
317,1
318,0
319,0
320,0
321,1
322,1
323,0
324,1
325,0
326,1
327,0
328,0
329,1
330,0
331,1
332,0
333,1
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,1
347,0
348,0
349,1
350,0
351,1
352,0
353,0
354,0
355,0
356,1
357,1
358,0
359,0
360,0
361,1
362,1
363,0
364,0
365,1
366,0
367,0
368,1
369,1
370,0
371,1
372,0
373,1
374,1
375,0
376,1
377,1
378,0
379,1
380,1
381,0
382,0
383,0
384,0
385,0
386,0
387,1
388,1
389,0
390,1
391,0
392,0
393,0
394,0
395,1
396,1
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,1
406,1
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,1
415,0
416,1
417,1
418,0
419,0
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,0
429,1
430,1
431,0
432,0
433,0
434,0
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,0
443,1
444,0
445,0
446,1
447,1
448,1
449,1
450,1
451,0
452,0
453,1
454,1
455,1
456,0
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,0
465,0
466,0
467,1
468,1
469,1
470,0
471,0
472,1
473,1
474,0
475,0
476,1
477,0
478,0
479,0
480,0
481,1
482,0
483,0
484,0
485,0
486,0
487,1
488,0
489,1
490,1
491,0
492,0
493,1
494,0
495,1
496,0
497,1
498,0
499,1
500,0
501,0
502,0
503,0
504,0
505,1
506,1
507,1
508,0
509,0
510,0
511,1
512,1
513,0
514,1
515,1
516,0
517,1
518,0
519,0
520,0
521,0
522,1
523,1
524,1
525,1
526,1
527,0
528,0
529,1
530,1
531,1
532,1
533,1
534,0
535,1
536,0
537,1
538,1
539,0
540,0
541,0
542,1
543,0
544,0
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,0
554,0
555,0
556,1
557,1
558,0
559,1
560,1
561,0
562,0
563,1
564,0
565,0
566,1
567,1
568,1
569,1
570,0
571,0
572,0
573,0
574,0
575,1
576,0
577,0
578,1
579,1
580,1
581,1
582,0
583,0
584,1
585,0
586,1
587,0
588,1
589,1
590,1
591,1
592,1
593,0
594,0
595,0
596,0
597,0
598,1
599,0
600,1
601,1
602,0
603,0
604,1
605,0
606,1
607,0
608,0
609,0
610,1
611,0
612,1
613,0
614,1
615,0
616,0
617,0
618,1
619,1
620,0
621,0
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,0
630,0
631,0
632,0
633,1
634,0
635,0
636,0
637,0
638,0
639,0
640,1
641,1
642,1
643,1
644,0
645,1
646,1
647,0
648,0
649,0
650,1
651,1
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,1
661,0
662,0
663,1
664,0
665,0
666,0
667,0
668,0
669,1
670,0
671,0
672,0
673,1
674,0
675,0
676,1
677,1
678,1
679,1
680,1
681,0
682,1
683,1
684,1
685,0
686,0
